Word,Root,Affix,Tag,PoS_root,PoS_word,tag_splitted
чаптадыңар,Чапта,ды-ңар,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
аткаргансыздар,аткар,ган-сыз-дар,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
токсон экинчисиз,токсон эки,нчи-сиз,NUM_ORD_2SGF,NUM,NUM,"['NUM', 'ORD', '2SGF']"
адамдарыңан,адам,дарыңан,PL_POSS_2SG_ABL,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ABL']"
текшерттир,Текшер,тир,CAUS_1,VERB,VERB,"['CAUS', '1']"
периштелериңиздерден,периште,лериңиздерден,PL_POSS_2PLF_ABL,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ABL']"
эстелигиңиздерди,эстелик,иңиздерди,POSS_2PLF_ACC,NOUN,NOUN,"['POSS', '2PLF', 'ACC']"
кайрыбасмын,кайры,бас-мын,PCP_FUT_NEG_PERS_1SG,VERB,VERB,"['PCP', 'FUT', 'NEG', 'PERS', '1SG']"
карабайбыз,Кара,ба-йбыз,NEG_1PL,VERB,VERB,"['NEG', '1PL']"
коюп жаттың,Кой,уп-жаттың,PRES_PST_2SG,VERB,VERB,"['PRES', 'PST', '2SG']"
жолдошторуңду,жолдош,торуңду,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
сапаттамакчы,сапатта,макчы,DESIDE,VERB,VERB,['DESIDE']
чуркашты,Чурка,ш-ты,RECP_PST_DEF_3SG,VERB,VERB,"['RECP', 'PST', 'DEF', '3SG']"
авторду,автор,ду,ACC,NOUN,NOUN,['ACC']
учарсыңар,Уч,ар-сыңар,FUT_INDF_2PL,VERB,VERB,"['FUT', 'INDF', '2PL']"
кошуналарыңыздарды,кошуна,ларыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
илдиңер,Ил,ди-ңер,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
жүгүрбөйсүңөр,Жүгүр,бө-йсүңөр,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
апаларыңа,апа,ларыңа,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
текшериңиздер,Текшер,иңиздер,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
окумуштууларыңызда,окумуштуу,ларыңызда,PL_POSS_2SGF_LOC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'LOC']"
жумшагыраак,жумшак,ыраак,COMP,ADJECTIVE,ADJECTIVE,['COMP']
периштелериңди,периште,лериңди,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
алмаларымын,алма,ларымын,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
бийлем,Бийле,й-м,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
узаттык,Узат,тык,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
термелбес,термел,бе-с,FUT_INDF_NEG,VERB,VERB,"['FUT', 'INDF', 'NEG']"
кийиңиздер,Кий,иңиздер,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
сиңдинин,сиңди,нин,GEN,NOUN,NOUN,['GEN']
эстегенмин,Эсте,ген-мин,PST_INDF_1SG,VERB,VERB,"['PST', 'INDF', '1SG']"
кайрыларсыздар,кайрыл,а-р-сыздар,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
жаптыңыз,Жап,ты-ңыз,PST_DEF_POSS_2SGF,VERB,VERB,"['PST', 'DEF', 'POSS', '2SGF']"
жыйнагансыздар,Жыйна,ган-сыз-дар,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
пайыздарыңан,пайыз,дарыңан,PL_POSS_2SG_ABL,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ABL']"
саптамакмын,сапта,макмын,INF_4_1SG,VERB,VERB,"['INF', '4', '1SG']"
курмак,кур,мак,INF_4,VERB,VERB,"['INF', '4']"
таарынса,таарын,са,COND,VERB,VERB,['COND']
текшерчүмүн,Текшер,чү-мүн,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
баштоо,Башта,оо,INF_1,VERB,VERB,"['INF', '1']"
токочпу,токоч,пу,INT,NOUN,NOUN,['INT']
тарыхпы,тарых,пы,INT,NOUN,NOUN,['INT']
жуун,жуу,н,REFL,VERB,VERB,['REFL']
жеңбейсиңер,Жең,бе-йсиңер,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
көргөй,Көр,гөй,OPT,VERB,VERB,['OPT']
аткарганмын,аткар,ган-мын,PST_INDF_1SG,VERB,VERB,"['PST', 'INDF', '1SG']"
балкаңан,балка,ңан,POSS_2SG_ABL,NOUN,NOUN,"['POSS', '2SG', 'ABL']"
кармар,Карма,р,FUT_INDF,VERB,VERB,"['FUT', 'INDF']"
жашайсыздар,Жаша,й-сыздар,FUT_DEF_2PLF,VERB,VERB,"['FUT', 'DEF', '2PLF']"
жомокторуңуздарды,жомок,торуңуздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
өкмөтүмүн,өкмөт,үмүн,POSS_1SG_GEN,NOUN,NOUN,"['POSS', '1SG', 'GEN']"
окуп жатасың,Оку,п-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
жеңиш,Жең,иш,INF_3,VERB,VERB,"['INF', '3']"
таштабайсың,Ташта,ба-йсың,NEG_2SG,VERB,VERB,"['NEG', '2SG']"
баспасмын,бас,пас-мын,FUT_INDF_NEG_PERS_1SG,VERB,VERB,"['FUT', 'INDF', 'NEG', 'PERS', '1SG']"
созулууда,созул,улуу-да,PRES,VERB,VERB,['PRES']
алтымыш жетини,алтымыш жети,ни,ACC,NUM,NUM,['ACC']
басуудан,Бас,уу-дан,ABL,VERB,NOUN,['ABL']
элчисиз,элчи,сиз,2SGF,NOUN,NOUN,['2SGF']
ойчулдарымдын,ойчул,дарымдын,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
ырымдан,ыр,ымдан,POSS_1SG_ABL,NOUN,NOUN,"['POSS', '1SG', 'ABL']"
эстеликтерибизге,эстелик,терибизге,PL_POSS_1PL_DAT,NOUN,NOUN,"['PL', 'POSS', '1PL', 'DAT']"
балкаларыңыздардан,балка,ларыңыздардан,PL_POSS_2PLF_ABL,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ABL']"
элчилериңи,элчи,лериңи,PL_POSS_2SG_ACC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ACC']"
тилдейсиң,тилде,й-сиң,FUT_DEF_2SG,VERB,VERB,"['FUT', 'DEF', '2SG']"
санаптырсың,Сана,птыр-сың,PST_EVID_2SG,VERB,VERB,"['PST', 'EVID', '2SG']"
тилдеп жатамын,тилде,п-жатамын,PRES_1SG,VERB,VERB,"['PRES', '1SG']"
эжелериңизди,эже,лериңизди,PL_POSS_2SGF_ACC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ACC']"
таштасын,Ташта,сын,JUS_SG,VERB,VERB,"['JUS', 'SG']"
курчумун,кур,чу-мун,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
топтоптурмун,топто,птур-мун,PST_EVID_1SG,VERB,VERB,"['PST', 'EVID', '1SG']"
өтөйүн,өт,өйүн,HOR_SG,VERB,VERB,"['HOR', 'SG']"
жаттыңар,Жат,ты-ңар,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
жомокторумун,жомок,торумун,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
барсаң,Бар,саң,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
таштарбыз,Ташта,р-быз,FUT_INDF_1PL,VERB,VERB,"['FUT', 'INDF', '1PL']"
темирлеринде,темир,леринде,PL_POSS_3SG_LOC,NOUN,NOUN,"['PL', 'POSS', '3SG', 'LOC']"
ойчулдарыңа,ойчул,дарыңа,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
ойчулуңузга,ойчул,уңузга,POSS_2SGF_DAT,NOUN,NOUN,"['POSS', '2SGF', 'DAT']"
актёруңузду,актёр,уңузду,POSS_2SGF_ACC,NOUN,NOUN,"['POSS', '2SGF', 'ACC']"
айрансыз,айран,сыз,2SGF,NOUN,NOUN,['2SGF']
ырсыз,ыр,сыз,2SGF,NOUN,NOUN,['2SGF']
уктап жатабыз,Укта,п-жатабыз,PRES_1PL,VERB,VERB,"['PRES', '1PL']"
уюму,уюм,у,POSS_3SG,NOUN,NOUN,"['POSS', '3SG']"
иштеп жатса,Иште,п-жатса,PRES_COND,VERB,VERB,"['PRES', 'COND']"
кошуналарыңыздар,кошуна,ларыңыздар,PL_POSS_2PLF,NOUN,NOUN,"['PL', 'POSS', '2PLF']"
күлчү,Күл,чү,PST_ITER,VERB,VERB,"['PST', 'ITER']"
көтөрөлу,Көтөр,өлү,HOR_PL,VERB,VERB,"['HOR', 'PL']"
иштейсиңер,Иште,й-сиңер,FUT_DEF_2PL,VERB,VERB,"['FUT', 'DEF', '2PL']"
алтымыш жетинчисиң,алтымыш жети,нчи-сиң,NUM_ORD_2SGF,NUM,NUM,"['NUM', 'ORD', '2SGF']"
топтоптурсуз,топто,птур-суз,PST_EVID_2SGF,VERB,VERB,"['PST', 'EVID', '2SGF']"
саптады,сапта,ды,PST_DEF,VERB,VERB,"['PST', 'DEF']"
чымындарыңызды,чымын,дарыңызды,PL_POSS_2SGF_ACC,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ACC']"
мугалимдерибизден,мугалим,дерибизден,PL_POSS_1PL_ABL,NOUN,NOUN,"['PL', 'POSS', '1PL', 'ABL']"
алышарсыздар,алыш,а-р-сыздар,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
ырсың,ыр,сың,PERS_2SG,NOUN,NOUN,"['PERS', '2SG']"
эстеликтериңиз,эстелик,териңиз,PL_POSS_2SGF,NOUN,NOUN,"['PL', 'POSS', '2SGF']"
бекитүүдөн,Бекит,үү-дөн,ABL,VERB,NOUN,['ABL']
өрдөктөрүңдүн,өрдөк,төрүңдүн,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
чыгармаларыңда,чыгарма,ларыңда,PL_POSS_2SG_LOC,NOUN,NOUN,"['PL', 'POSS', '2SG', 'LOC']"
сексен жетинчисиңер,сексен жети,нчи-сиңер,NUM_ORD_2PL,NUM,NUM,"['NUM', 'ORD', '2PL']"
тазалаш,Тазала,ш,INF_3,VERB,VERB,"['INF', '3']"
учуңуздар,Уч,уңуздар,IMP_PLF,VERB,VERB,"['IMP', 'PLF']"
актёрлоруңарга,актёр,лоруңарга,PL_POSS_2PL_DAT,NOUN,NOUN,"['PL', 'POSS', '2PL', 'DAT']"
созулдуңуздар,созул,дуңуздар,PST_DEF_POSS_2PLF,VERB,VERB,"['PST', 'DEF', 'POSS', '2PLF']"
сактамаксыз,сакта,максыз,INF_4_2SGF,VERB,VERB,"['INF', '4', '2SGF']"
ченейт,Чене,й-т,FUT_DEF_3SG,VERB,VERB,"['FUT', 'DEF', '3SG']"
айтсын,Айт,сын,JUS_SG,VERB,VERB,"['JUS', 'SG']"
пайыздары,пайыз,дары,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
жолдошуңуз,жолдош,уңуз,POSS_2SGF,NOUN,NOUN,"['POSS', '2SGF']"
айымдарыма,айым,дарыма,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
уруп жатасыз,Ур,уп-жатасыз,PRES_2SGF,VERB,VERB,"['PRES', '2SGF']"
отуз төрттө,отуз төрт,тө,LOC,NUM,NUM,['LOC']
тарыхтарын,тарых,тарын,PL_POSS_3SG,NOUN,NOUN,"['PL', 'POSS', '3SG']"
актадык,акта,дык,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
сурамаксыңар,Сура,мак-сыңар,INF_4_2PL,VERB,VERB,"['INF', '4', '2PL']"
уккансыздар,Ук,кан-сыз-дар,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
жалпагыраак,жалпак,ыраак,COMP,ADJECTIVE,ADJECTIVE,['COMP']
текшербейсиңер,Текшер,бе-йсиңер,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
элчилерибиздин,элчи,лерибиздин,PL_POSS_2PL_GEN,NOUN,NOUN,"['PL', 'POSS', '2PL', 'GEN']"
алтымыш төртүнчүсүз,алтымыш төрт,үнчү-сүз,NUM_ORD_2SGF,NUM,NUM,"['NUM', 'ORD', '2SGF']"
балкаңарга,балка,ңарга,POSS_2PL_DAT,NOUN,NOUN,"['POSS', '2PL', 'DAT']"
чаптадыңыз,Чапта,ды-ңыз,PST_DEF_POSS_2SGF,VERB,VERB,"['PST', 'DEF', 'POSS', '2SGF']"
жамаган,Жама,ган,PST_INDF_PERS_3SG,VERB,VERB,"['PST', 'INDF', 'PERS', '3SG']"
мырзадан,мырза,дан,ABL,NOUN,NOUN,['ABL']
күлгөнсүздөр,Күл,гөн-сүз-дөр,PST_INDF_2PLF,VERB,VERB,"['PST', 'INDF', '2PLF']"
жазбагай,Жаз,ба-гай,PREM,VERB,VERB,['PREM']
жолугушту,жолук,ушту,RECP_PST_DEF_3SG,VERB,VERB,"['RECP', 'PST', 'DEF', '3SG']"
сүйлөймүн,Сүйлө,й-мүн,FUT_DEF_1SG,VERB,VERB,"['FUT', 'DEF', '1SG']"
кошуп жатасың,Кош,уп-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
күтсөң,Күт,сөң,COND_POSS_2SG,VERB,VERB,"['COND', 'POSS', '2SG']"
билимдериңиздер,билим,дериңиздер,PL_POSS_2PLF,NOUN,NOUN,"['PL', 'POSS', '2PLF']"
буйругансыз,буйру,ган-сыз,PST_INDF_2SGF,VERB,VERB,"['PST', 'INDF', '2SGF']"
чаптап жаттың,Чапта,п-жаттың,PRES_PST_2SG,VERB,VERB,"['PRES', 'PST', '2SG']"
айраныңарды,айран,ыңарды,POSS_2PL_ACC,NOUN,NOUN,"['POSS', '2PL', 'ACC']"
комузду,комуз,ду,ACC,NOUN,NOUN,['ACC']
жыйырманчыга,жыйырма,нчы-га,NUM_ORD_DAT,NUM,NUM,"['NUM', 'ORD', 'DAT']"
сүйлөп жатат,Сүйлө,п-жат-а-т,PRES_3SG,VERB,VERB,"['PRES', '3SG']"
апаларыңыздарды,апа,ларыңыздарды,PL_POSS_2PLF_ACC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'ACC']"
ачкансың,Ач,кан-сың,PST_INDF_PS_2SG,VERB,VERB,"['PST', 'INDF', 'PS', '2SG']"
таштоого,Ташта,оо-го,DAT,VERB,NOUN,['DAT']
өкмөттөрүбүздө,өкмөт,төрүбүздө,PL_POSS_1PL_LOC,NOUN,NOUN,"['PL', 'POSS', '1PL', 'LOC']"
күлүүгө,Күл,үү-гө,DAT,VERB,NOUN,['DAT']
тиштөөнүн,Тиште,өө-нүн,GEN,VERB,NOUN,['GEN']
тосмокмун,Тос,мок-мун,INF_4_1SG,VERB,VERB,"['INF', '4', '1SG']"
уктайсыңар,Укта,й-сыңар,FUT_DEF_2PL,VERB,VERB,"['FUT', 'DEF', '2PL']"
урмак,Ур,мак,INF_4,VERB,VERB,"['INF', '4']"
чыгармабызга,чыгарма,бызга,POSS_1PL_DAT,NOUN,NOUN,"['POSS', '1PL', 'DAT']"
билчүсүң,Бил,чү-сүң,PST_ITER_2SG,VERB,VERB,"['PST', 'ITER', '2SG']"
тазаламаксың,Тазала,мак-сың,INF_4_2SG,VERB,VERB,"['INF', '4', '2SG']"
оюнуңуздун,оюн,уңуздун,POSS_2SGF_GEN,NOUN,NOUN,"['POSS', '2SGF', 'GEN']"
басып жатасыңар,Бас,ып-жатасыңар,PRES_2PL,VERB,VERB,"['PRES', '2PL']"
он биринчини,он бир,инчи-ни,NUM_ORD_ACC,NUM,NUM,"['NUM', 'ORD', 'ACC']"
баштыкарышты,Баштыкар,ыш-ат,FUT_DEF_3PL,VERB,VERB,"['FUT', 'DEF', '3PL']"
өспүрүмсүң,өспүрүм,сүң,PERS_2SG,NOUN,NOUN,"['PERS', '2SG']"
сырдаптыр,Сырда,птыр,PST_EVID_3SG,VERB,VERB,"['PST', 'EVID', '3SG']"
комуздарыңыз,комуз,дарыңыз,PL_POSS_2SGF,NOUN,NOUN,"['PL', 'POSS', '2SGF']"
уктайт,Укта,й-т,FUT_DEF_3SG,VERB,VERB,"['FUT', 'DEF', '3SG']"
паспортубуздан,паспорт,убуздан,POSS_1PL_ABL,NOUN,NOUN,"['POSS', '1PL', 'ABL']"
карар,Кара,р,PCP_FUT_DEF,VERB,VERB,"['PCP', 'FUT', 'DEF']"
шыпырыптырсың,Шыпыр,ыптыр-сың,PST_EVID_2SG,VERB,VERB,"['PST', 'EVID', '2SG']"
уялбачудай,уял,ба-чудай,FUT_INDF_3SG,VERB,VERB,"['FUT', 'INDF', '3SG']"
жигитби,жигит,би,INT,NOUN,NOUN,['INT']
чыкканбыз,Чык,кан-быз,PST_INDF_1PL,VERB,VERB,"['PST', 'INDF', '1PL']"
урбачудай,Ур,ба-чудай,FUT_INDF_3SG,VERB,VERB,"['FUT', 'INDF', '3SG']"
уюмдарга,уюм,дарга,PL_DAT,NOUN,NOUN,"['PL', 'DAT']"
канаттууларымын,канаттуу,ларымын,PL_POSS_1SG_GEN,NOUN,NOUN,"['PL', 'POSS', '1SG', 'GEN']"
касапчыбыздын,касапчы,быздын,POSS_1PL_GEN,NOUN,NOUN,"['POSS', '1PL', 'GEN']"
кумдуураак,кумдуу,раак,COMP,ADJECTIVE,ADJECTIVE,['COMP']
бөлгөнсүңөр,Бөл,гөн-сүңөр,PST_INDF_2PL,VERB,VERB,"['PST', 'INDF', '2PL']"
мергенчиңиздерде,мергенчи,ңиздерде,POSS_2PLF_LOC,NOUN,NOUN,"['POSS', '2PLF', 'LOC']"
тиштегиле,Тиште,гиле,IMP_PL,VERB,VERB,"['IMP', 'PL']"
жазуучуларыма,жазуучу,ларыма,PL_POSS_1SG_DAT,NOUN,NOUN,"['PL', 'POSS', '1SG', 'DAT']"
берди,Бер,ди,PST_DEF,VERB,VERB,"['PST', 'DEF']"
аччусуз,Ач,чу-суз,PST_ITER_2SGF,VERB,VERB,"['PST', 'ITER', '2SGF']"
күлүп жатамын,Күл,үп-жатамын,PRES_1SG,VERB,VERB,"['PRES', '1SG']"
саптабасмын,сапта,бас-мын,PCP_FUT_NEG_PERS_1SG,VERB,VERB,"['PCP', 'FUT', 'NEG', 'PERS', '1SG']"
шымыңыздардын,шым,ыңыздардын,POSS_2PLF_GEN,NOUN,NOUN,"['POSS', '2PLF', 'GEN']"
кагазында,кагаз,ында,POSS_3PL_LOC,NOUN,NOUN,"['POSS', '3PL', 'LOC']"
мезгилиңерди,мезгил,иңерди,POSS_2PL_ACC,NOUN,NOUN,"['POSS', '2PL', 'ACC']"
жазуучубуз,жазуучу,буз,PERS_1PL,NOUN,NOUN,"['PERS', '1PL']"
дарбызсыңар,дарбыз,сыңар,PERS_2PL,NOUN,NOUN,"['PERS', '2PL']"
жеңдиңер,Жең,ди-ңер,PST_DEF_POSS_2PL,VERB,VERB,"['PST', 'DEF', 'POSS', '2PL']"
кемитчүсүздөр,кемит,чүсүздөр,PST_ITER_2PLF,VERB,VERB,"['PST', 'ITER', '2PLF']"
актёрлоруңа,актёр,лоруңа,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
тилдемекчи,тилде,мекчи,DESIDE,VERB,VERB,['DESIDE']
поездибизде,поезд,ибизде,POSS_1PL_LOC,NOUN,NOUN,"['POSS', '1PL', 'LOC']"
мейманбыз,мейман,быз,PERS_1PL,NOUN,NOUN,"['PERS', '1PL']"
жигитибизден,жигит,ибизден,POSS_1PL_ABL,NOUN,NOUN,"['POSS', '1PL', 'ABL']"
жазабыз,Жаз,абыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
сапаттоодон,сапаттоо,дон,ABL,VERB,NOUN,['ABL']
бийлечүсүздөр,Бийле,чү-сүз-дөр,PST_ITER_2PLF,VERB,VERB,"['PST', 'ITER', '2PLF']"
кайрылмаксыңар,кайрыл,максыңар,INF_4_2PL,VERB,VERB,"['INF', '4', '2PL']"
апаңыз,апа,ңыз,POSS_2SGF,NOUN,NOUN,"['POSS', '2SGF']"
балкаларында,балка,ларында,PL_POSS_3SG_LOC,NOUN,NOUN,"['PL', 'POSS', '3SG', 'LOC']"
жазышты,Жаз,ыш-ат,FUT_DEF_3PL,VERB,VERB,"['FUT', 'DEF', '3PL']"
ачалык,Ач,алык,HOR_PL,VERB,VERB,"['HOR', 'PL']"
актёруңдан,актёр,уңдан,POSS_2SG_ABL,NOUN,NOUN,"['POSS', '2SG', 'ABL']"
